Service Request#;Incident Date;BLDG#;Street;Boro;Zip;Cross Streets;Cleaning Methods;San Dist;CB;Precinct;Council Dist;City Owned;xcoord;ycoord;On Roll Down Gate;Cherry Picker;Above 3rd Floor;LM
G138331;10/8/2015;181;LOMBARDY STREET;BROOKLYN;11222;VARICK AVENUE / STEWART AVENUE;"Paint Gray ; ";301;1;94;34;FALSE;1002688;203020;No;No;No;FALSE
G138332;10/8/2015;14;WEEHAWKEN STREET;MANHATTAN;10014;WEST   10 STREET / CHRISTOPHER STREET;;102;2;6;03;FALSE;981481;206213;No;No;No;FALSE
G138335;10/8/2015;5803;7 AVENUE;BROOKLYN;11220;58 STREET / 59 STREET;"Paint No preference ; ";307;7;72;38;FALSE;981360;171617;No;No;No;FALSE
G138337;10/8/2015;5424;7 AVENUE;BROOKLYN;11220;54 STREET / 55 STREET;;307;7;72;38;FALSE;981763;172397;Yes;No;No;FALSE
G138338;10/8/2015;6118;4 AVENUE;BROOKLYN;11220;61 STREET / 62 STREET;;307;7;72;38;FALSE;978780;172463;No;No;No;FALSE
G138339;10/8/2015;683;60 STREET;BROOKLYN;11220;6 AVENUE / 7 AVENUE;"Paint No preference PAINT BACK TO NORMAL; ";307;7;72;38;FALSE;980996;171379;No;No;No;FALSE
G138340;10/8/2015;276;GRAND STREET;BROOKLYN;11211;ROEBLING STREET / HAVEMEYER STREET;"Paint Black ; ";301;01;90;34;FALSE;995883;199042;No;No;No;FALSE
G138341;10/8/2015;172-12;LINDEN BOULEVARD;QUEENS;11434;172 STREET / 173 STREET;;412;12;113;27;FALSE;1045924;191388;No;No;No;FALSE
G138342;10/8/2015;131;DRIGGS AVENUE;BROOKLYN;11222;NORTH HENRY STREET / RUSSELL STREET;"Paint Brick-Red & ROLL DOWN GATE GRAY; ";301;1;94;33;FALSE;999826;202655;No;No;No;FALSE
G138345;10/8/2015;102;NORTH    1 STREET;BROOKLYN;11211;WYTHE AVENUE / BERRY STREET;;301;1;90;34;FALSE;994493;200038;Yes;No;No;FALSE
G138346;10/8/2015;94;NORTH FIRST STREET;BROOKLYN;11211;WYTHE AVENUE / BERRY STREET;;301;1;90;34;FALSE;994393;200093;Yes;No;No;FALSE
