borough,neighborhood,building_class_category,tax_class_present,block,lot,easement,building_class_present,address,apartment_number,zip_code,residential_units,commmercial_units,total_units,land_sq_feet,gross_sq_feet,year_built,tax_class_time_sale,build_class_time_sale,sale_price,sale_date,serialid
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5735,356,,A5,214 PRESENTATION CIRCLE,,10312,1,0,1,1972,1991,2011,1,A5,0,8/23/2011,212932
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5735,357,,A5,216 PRESENTATION CIRCLE,,10312,1,0,1,1972,1991,2011,1,A5,0,8/23/2011,212933
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5735,358,,A5,218 PRESENTATION CIRCLE,,10312,1,0,1,1972,1991,2011,1,A5,0,8/23/2011,212934
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5735,375,,A5,220 PRESENTATION CIRCLE,,10312,1,0,1,9440,1991,2011,1,A5,0,8/23/2011,212935
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5735,377,,A5,50 PRESENTATION CIRCLE,,10312,1,0,1,3237,2202,2011,1,A5,0,8/23/2011,212936
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5735,378,,A5,52 PRESENTATION CIRCLE,,10312,1,0,1,2338,1991,2011,1,A5,0,8/23/2011,212937
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5735,379,,A5,54 PRESENTATION CIRCLE,,10312,1,0,1,2341,1991,2011,1,A5,0,8/23/2011,212938
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5735,380,,A5,56 PRESENTATION CIRCLE,,10312,1,0,1,2340,1991,2011,1,A5,0,8/23/2011,212939
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5735,385,,A5,58 PRESENTATION CIRCLE,,10312,1,0,1,2343,1991,2011,1,A5,0,8/23/2011,212940
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5735,386,,A5,60 PRESENTATION CIRCLE,,10312,1,0,1,2312,1991,2011,1,A5,0,8/23/2011,212941
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5735,395,,A5,62 PRESENTATION CIRCLE,,10312,1,0,1,5682,1991,2011,1,A5,0,8/23/2011,212942
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5735,397,,A5,80 PRESENTATION CIRCLE,3I,10312,1,0,1,2670,1991,2011,1,A5,0,8/23/2011,212943
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5735,398,,A5,82 PRESENTATION CIRCLE,4A,10312,1,0,1,2126,1991,2011,1,A5,0,8/23/2011,212944
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5735,399,,A5,84 PRESENTATION CIRCLE,4B,10312,1,0,1,2129,1991,2011,1,A5,0,8/23/2011,212945
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5735,400,,A5,86 PRESENTATION CIRCLE,1A,10312,1,0,1,2129,1991,2011,1,A5,0,8/23/2011,212946
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5735,401,,A5,88 PRESENTATION CIRCLE,1B,10312,1,0,1,2129,1991,2011,1,A5,0,8/23/2011,212947
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5735,402,,A5,90 PRESENTATION CIRCLE,1C,10312,1,0,1,3711,1991,2011,1,A5,0,8/23/2011,212948
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5735,403,,A5,94 PRESENTATION CIRCLE,1F,10312,1,0,1,3465,1991,2011,1,A5,0,8/23/2011,212949
5,ARDEN HEIGHTS,01  ONE FAMILY HOMES,1,5735,404,,A5,96 PRESENTATION CIRCLE,1H,10312,1,0,1,1972,1991,2011,1,A5,0,8/23/2011,212950
