GID,,Pos,Name,Team,Opponent,Home/Away,Salary,Salary Change,Points,GP,Pts_Game,Pts_G_$,Pts_G(alt),Bye week,PLAYS,RUN,RYD,RTD,TARGETS,REC,PYDS,PTD,FUM,INT,PERF,LAST,Connections
2840,134,RB,"Todman, Jordan",pit,cle,H,3000,0,1.4,3,0.47,0.16,0.3,11,6,4,22,0,2,0,0,0,0,0,0,0.3,20
2705,135,RB,"Brown, Donald",sdg,,H,0,-3000,1.3,1,1.3,0,1.3,10,2,2,13,0,0,0,0,0,0,0,0,1.3,20
2869,136,RB,"Cadet, Travaris",ne,nyg,A,0,0,1.2,1,1.2,0,0,4,1,0,0,0,1,1,2,0,0,0,0,0,27
2909,137,RB,"Coleman, Derrick",sea,ari,H,3000,3000,1.2,2,0.6,0.2,0,9,2,1,2,0,1,1,0,0,0,0,0,0,21
2774,138,RB,"Smith, Antone",chi,stl,A,3000,0,1.1,1,1.1,0.37,1.1,7,1,1,11,0,0,0,0,0,0,0,0,1.1,30
2988,139,RB,"Tipton, Zurlon",ind,,H,0,-3000,0.9,2,0.45,0,0,10,3,2,9,0,1,0,0,0,0,0,0,0,18
2917,140,RB,"Wood, Cierre",buf,nyj,A,0,0,0.7,2,0.35,0,0,8,3,2,3,0,1,1,-6,0,0,0,0,0,13
3191,141,RB,"Smith, Rod",dal,tam,A,3000,0,0.5,2,0.25,0.08,0,6,3,2,5,0,1,0,0,0,0,0,0,0,27
2918,142,RB,"Williams, Kerwynn",ari,sea,A,0,0,0.3,1,0.3,0,0,9,1,1,3,0,0,0,0,0,0,0,0,0,28
2624,143,RB,"Felton, Jerome",buf,nyj,A,3000,0,0.2,2,0.1,0.03,0,8,2,1,2,0,1,0,0,0,0,0,0,0,13
2887,144,RB,"Barner, Kenjon",phi,mia,H,3000,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,28
2984,145,RB,"Winn, George",det,gb,A,3000,3000,0,1,0,0,0,9,1,1,0,0,0,0,0,0,0,0,0,0,29
2986,146,RB,"Tukuafu, Will",sea,ari,H,3000,3000,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,21
5414,147,RB,"Mostert, Raheem",bal,jac,H,3000,3000,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,26
2860,148,RB,"Pead, Isaiah",stl,chi,H,3000,3000,-0.7,1,-0.7,-0.23,0,6,2,2,3,0,0,0,0,0,1,0,0,0,25
