DBN,Name,M_numtested,M_mean,M_L1,M_L2,M_L3,M_L4,ELA_numtested,ELA_mean,ELA_L1,ELA_L2,ELA_L3,ELA_L4
18K276,P.S. 276 LOUIS MARSHALL,338,285.9142,175,88,53,22,332,288.6325,158,117,46,11
18K279,P.S. 279 HERMAN SCHREIBER,249,291.5422,97,89,52,11,247,296.0202,86,106,52,3
18K285,I.S. 285 MEYER LEVIN,787,289.2999,345,328,91,23,880,293.367,285,421,142,32
18K366,THE SCIENCE AND MEDICINE MIDDLE SCHOOL,349,300.2321,81,205,55,8,370,293.2622,126,172,52,20
18K581,EAST FLATBUSH COMMUNITY RESEARCH SCHOOL,222,277.6486,135,72,14,1,223,271.4395,142,72,7,2
18K588,MIDDLE SCHOOL FOR ART AND PHILOSOPHY,305,278.977,170,107,24,4,305,282.8098,148,128,28,1
18K598,MIDDLE SCHOOL OF MARKETING AND LEGAL STUDIES,274,276.2226,175,84,14,1,277,280.8664,145,111,15,6
19K007,P.S. 007 ABRAHAM LINCOLN,465,289.4753,202,167,71,25,455,292.1231,182,174,84,15
19K013,P.S. 013 ROBERTO CLEMENTE,207,283.2029,106,62,31,8,207,280.5604,117,62,22,6
19K065,P.S. 065,314,303.6688,95,97,75,47,307,297.1629,106,118,65,18
19K089,P.S. 089 CYPRESS HILLS,279,285.9319,146,96,33,4,274,277.6861,161,84,23,6
19K108,P.S. 108 SAL ABBRACCIAMENTO,389,310.2185,77,132,122,58,379,301.2111,112,146,91,30
19K149,P.S. 149 DANNY KAYE,324,289.6636,146,112,52,14,321,279.1028,189,99,28,5
19K158,P.S. 158 WARWICK,250,283.168,128,87,29,6,252,279,147,88,16,1
19K159,P.S. 159 ISAAC PITKIN,398,293.7613,175,103,66,54,385,288.3532,182,122,66,15
19K166,J.H.S. 166 GEORGE GERSHWIN,206,264.6748,166,38,2,0,204,271.2304,142,56,6,0
19K171,I.S. 171 ABRAHAM LINCOLN,763,279.3644,449,237,62,15,739,279.6373,376,275,62,26
19K174,P.S. 174 DUMONT,203,269.9064,147,49,7,0,204,275.9755,124,65,14,1
19K190,P.S. 190 SHEFFIELD,96,288.7917,40,44,9,3,95,282.4842,50,31,13,1
19K202,P.S. 202 ERNEST S. JENKYNS,366,276.8497,223,100,34,9,355,280.0085,200,111,36,8
19K213,P.S. 213 NEW LOTS,197,274.6345,119,64,12,2,193,268.772,130,58,3,2
19K214,P.S. 214 MICHAEL FRIEDSAM,452,302.1018,144,153,97,58,443,293.3657,174,176,74,19
19K218,J.H.S. 218 JAMES P. SINNOTT,472,275.536,280,144,39,9,490,281.1429,255,172,53,10
19K224,P.S. 224 HALE A. WOODRUFF,275,284.6364,129,93,37,16,277,274.3574,167,88,18,4
19K273,P.S. 273 WORTMAN,180,286.7944,83,66,21,10,182,288.6978,73,80,28,1
19K290,P.S. 290 JUAN MOREL CAMPOS,242,306.8967,64,84,64,30,241,300.3651,59,121,56,5
19K292,J.H.S. 292 MARGARET S. DOUGLAS,632,287.9573,307,209,70,46,697,289.1263,297,253,99,48
19K302,J.H.S. 302 RAFAEL CORDERO,540,275.6426,370,126,36,8,519,274.7033,288,192,32,7
19K306,P.S. 306 ETHAN ALLEN,371,277.1402,228,114,27,2,370,281.4054,195,141,30,4
19K311,ESSENCE SCHOOL,136,271.75,94,35,7,0,134,272.403,81,46,5,2
19K325,THE FRESH CREEK SCHOOL,61,278.2459,38,15,6,2,64,287.9844,31,23,10,0
19K328,P.S. 328 PHYLLIS WHEATLEY,187,269.8235,129,50,5,3,184,270.1196,123,54,7,0
19K345,P.S. 345 PATROLMAN ROBERT BOLDEN,308,286.3864,134,122,42,10,301,288.9668,130,121,45,5
19K346,P.S. 346 ABE STARK,303,302.2079,85,118,60,40,301,299.3023,98,114,72,17
19K364,I.S. 364 GATEWAY,292,283.4041,161,87,40,4,355,300.0958,90,160,85,20
19K404,ACADEMY FOR YOUNG WRITERS,70,266.3143,47,19,4,0,73,281.8219,32,31,5,5
19K409,EAST NEW YORK FAMILY ACADEMY,181,308.337,40,77,52,12,181,304.7956,27,94,51,9
19K422,SPRING CREEK COMMUNITY SCHOOL,158,279.943,93,51,14,0,159,287.9874,57,89,11,2
19K452,FREDERICK DOUGLASS ACADEMY VIII MIDDLE SCHOOL,229,308.1921,50,101,49,29,283,307.7456,51,129,70,33
19K654,VAN SICLEN COMMUNITY MIDDLE SCHOOL,112,264.2054,83,22,7,0,110,264.0091,76,31,3,0
19K661,VISTA ACADEMY,111,290.3604,42,42,21,6,104,277.3942,50,43,10,1
19K662,LIBERTY AVENUE MIDDLE SCHOOL,142,289.2817,57,60,20,5,137,283.635,64,57,13,3
